prefLabel,id
Static,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C69299
Magnitude,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49158
"Pain by Anatomic Descriptor, CTCAE",http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53837
"Pain, CTCAE",http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C143725
Pain Distress,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C124175
Adverse Event Associated with Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53794
Usual Severity Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C125299
Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3303
Have Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C91126
Frequency of Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C104600
Feel Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C141521
How Much Distress Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C125331
Perception,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16967
Follow,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64950
Law,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62503
Law,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16786
Function,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25518
Mathematical Operator,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54025
Body Temperature,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C174446
Temperature,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25206
Characteristic,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25447
Possess,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C89277
Have,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C101282
Due To,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C89272
Slow,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64655
Temporal Anatomic Qualifier,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C117754
Temporal,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C73990
Experience,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54627
Multiple Metastases,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C180354
Multiple,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17648
Duration,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25330
Time,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25207
Evolution,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16565
Chief Complaint Continuously Present,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C168154
Continue,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53279
Continuous Heart Murmur,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C167446
Use,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C95018
Use,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25340
Difference,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C46003
Equation,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41195
Person,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25190
Stimulus,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41210
Pattern,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25336
Strong,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62223
Inference,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C75591
Inclusive,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C166400
Basis,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25430
Base,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48055
Brain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12439
Functional Relationship,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C75924
